"Story","Title","Result","Date","Stability","Duration (s)"
"Cadastro regra data base","Cadastrar uma regra data base - UC004 - Fluxo Principal","SKIPPED","2018-08-24T14:27:08.744-03:00[America/Sao_Paulo]","0.0","0.0"
"Cadastro regra data base","Cadastrar uma regra data base ja existente","SKIPPED","2018-08-24T14:27:08.747-03:00[America/Sao_Paulo]","0.0","0.0"
"Cadastro regra data base","Pesquisar/Editar uma regra data base","SKIPPED","2018-08-24T14:27:08.75-03:00[America/Sao_Paulo]","0.0","0.0"
"Cadastro regra data base","Pesquisar/Excluir uma regra data base","SKIPPED","2018-08-24T14:27:08.754-03:00[America/Sao_Paulo]","0.0","0.0"
