"Story","Title","Result","Date","Stability","Duration (s)"
"Cadastro grupo acesso tratativa","Cadastrar Associação tratativa x Grupo de Acesso x Regras - UC012","SKIPPED","2018-08-24T14:27:06.902-03:00[America/Sao_Paulo]","0.0","0.0"
"Cadastro grupo acesso tratativa","Editar Associação tratativa x Grupo de Acesso x Regras","SKIPPED","2018-08-24T14:27:06.909-03:00[America/Sao_Paulo]","0.0","0.0"
"Cadastro grupo acesso tratativa","Excluir Associação tratativa x Grupo de Acesso x Regras","SKIPPED","2018-08-24T14:27:06.915-03:00[America/Sao_Paulo]","0.0","0.0"
