"Story","Title","Result","Date","Stability","Duration (s)"
"Cadastro regra linha produto","Cadastrar uma regra linha de produto - UC002 - Fluxo Principal","SKIPPED","2018-08-24T14:34:05.098-03:00[America/Sao_Paulo]","0.0","0.0"
"Cadastro regra linha produto","Pesquisar/Editar uma regra linha de produto","SKIPPED","2018-08-24T14:34:05.099-03:00[America/Sao_Paulo]","0.0","0.0"
"Cadastro regra linha produto","Pesquisar/Excluir uma regra linha de produto","SKIPPED","2018-08-24T14:34:05.101-03:00[America/Sao_Paulo]","0.0","0.0"
