"Story","Title","Result","Date","Stability","Duration (s)"
"Atendimento cliente recibo troca pedido loja financiado sem reversao","Realiza o Recolhimento de Produto","SKIPPED","2018-08-24T14:25:42.711-03:00[America/Sao_Paulo]","0.0","0.01"
"Atendimento cliente troca simplificada deposito","Elaborar um pedido a vista com empenho em deposito/normal","SKIPPED","2018-08-24T14:27:11.823-03:00[America/Sao_Paulo]","0.0","0.0"
"Atendimento cliente troca simplificada deposito","Efetua o recebimento do pedido","SKIPPED","2018-08-24T14:27:11.827-03:00[America/Sao_Paulo]","0.0","0.0"
"Atendimento cliente troca simplificada deposito","Cria a carga para associar ao controle de faturamento","SKIPPED","2018-08-24T14:27:11.829-03:00[America/Sao_Paulo]","0.0","0.0"
"Atendimento cliente troca simplificada deposito","Cria a nota de transferencia do CD 47 para o CD 221","SKIPPED","2018-08-24T14:27:11.831-03:00[America/Sao_Paulo]","0.0","0.0"
"Atendimento cliente troca simplificada deposito","Elaborar um atendimento para o pedido realizado","SKIPPED","2018-08-24T14:27:11.838-03:00[America/Sao_Paulo]","0.0","0.01"
"Atendimento cliente troca simplificada deposito","Cria a carga para associar ao controle de faturamento TIPO R","SKIPPED","2018-08-24T14:27:11.847-03:00[America/Sao_Paulo]","0.0","0.0"
"Atendimento cliente troca simplificada deposito","Processa a nota de transferencia a nota no CD 221","SKIPPED","2018-08-24T14:27:11.856-03:00[America/Sao_Paulo]","0.0","0.0"
"Atendimento cliente troca simplificada deposito","Fatura a nota de transferencia a nota no CD 221","SKIPPED","2018-08-24T14:27:11.861-03:00[America/Sao_Paulo]","0.0","0.0"
"Atendimento cliente troca simplificada deposito","Realiza o Recolhimento de Produto","SKIPPED","2018-08-24T14:27:11.865-03:00[America/Sao_Paulo]","0.0","0.0"
"Atendimento cliente troca simplificada loja","Elaborar um pedido a vista com empenho em loja/normal","SKIPPED","2018-08-24T14:27:04.916-03:00[America/Sao_Paulo]","0.0","0.01"
"Atendimento cliente troca simplificada loja","Efetua o recebimento do pedido","SKIPPED","2018-08-24T14:27:04.924-03:00[America/Sao_Paulo]","0.0","0.0"
"Atendimento cliente troca simplificada loja","Fatura o pedido recebido","SKIPPED","2018-08-24T14:27:04.929-03:00[America/Sao_Paulo]","0.0","0.0"
"Atendimento cliente troca simplificada loja","Elaborar um atendimento para o pedido realizado","SKIPPED","2018-08-24T14:27:04.933-03:00[America/Sao_Paulo]","0.0","0.01"
"Atendimento cliente troca simplificada loja","Fatura o pedido criado na troca simplificada","SKIPPED","2018-08-24T14:27:04.947-03:00[America/Sao_Paulo]","0.0","0.0"
"Atendimento cliente troca simplificada loja","Realiza o Recolhimento de Produto","SKIPPED","2018-08-24T14:27:04.95-03:00[America/Sao_Paulo]","0.0","0.0"
"Atendimento cliente troca simplificada pedido finan","Elaborar um pedido a vista com empenho em loja/normal","SKIPPED","2018-08-24T14:41:26.518-03:00[America/Sao_Paulo]","0.0","0.0"
"Atendimento cliente troca simplificada pedido finan","Efetua o recebimento do pedido - OBS.","SKIPPED","2018-08-24T14:41:26.522-03:00[America/Sao_Paulo]","0.0","0.0"
"Atendimento cliente troca simplificada pedido finan","Elaborar um atendimento para o pedido realizado","SKIPPED","2018-08-24T14:41:26.525-03:00[America/Sao_Paulo]","0.0","0.01"
"Atendimento cliente troca simplificada pedido finan","Fatura o pedido criado na troca simplificada","SKIPPED","2018-08-24T14:41:26.533-03:00[America/Sao_Paulo]","0.0","0.0"
"Atendimento cliente troca simplificada pedido finan","Realiza o Recolhimento de Produto","SKIPPED","2018-08-24T14:41:26.535-03:00[America/Sao_Paulo]","0.0","0.0"
"Devolucao parcial pedido cartao","Controle de Faturamento PDV","SKIPPED","2018-08-24T14:27:10.308-03:00[America/Sao_Paulo]","0.0","0.0"
"Pesquisa atendimento","UC015 - Consultar atendimentos","SKIPPED","2018-08-24T14:30:34.009-03:00[America/Sao_Paulo]","0.0","0.0"
"Troca devolucao um produto","Elaborar um pedido a vista","SKIPPED","2018-08-24T14:41:24.122-03:00[America/Sao_Paulo]","0.0","0.0"
"Troca devolucao um produto","Efetua o recebimento do pedido","SKIPPED","2018-08-24T14:41:24.125-03:00[America/Sao_Paulo]","0.0","0.0"
"Troca devolucao um produto","Controle de Faturamento PDV","SKIPPED","2018-08-24T14:41:24.126-03:00[America/Sao_Paulo]","0.0","0.0"
"Troca devolucao um produto","Elaboração de Pré-recibo","SKIPPED","2018-08-24T14:41:24.128-03:00[America/Sao_Paulo]","0.0","0.01"
"Troca devolucao um produto","Elaborar um pedido a vista com rebibo de troca do pedido anterior","SKIPPED","2018-08-24T14:41:24.138-03:00[America/Sao_Paulo]","0.0","0.0"
"Troca devolucao um servico","Elaborar um pedido a vista","SKIPPED","2018-08-24T14:27:09.435-03:00[America/Sao_Paulo]","0.0","0.0"
"Troca devolucao um servico","Efetua o recebimento do pedido","SKIPPED","2018-08-24T14:27:09.447-03:00[America/Sao_Paulo]","0.0","0.0"
"Troca devolucao um servico","Elaboração de Pré-recibo","SKIPPED","2018-08-24T14:27:09.451-03:00[America/Sao_Paulo]","0.0","0.01"
"Troca um servico","Elaborar um pedido a vista","SKIPPED","2018-08-24T14:38:14.442-03:00[America/Sao_Paulo]","0.0","0.0"
