"Story","Title","Result","Date","Stability","Duration (s)"
"Cadastro regra loja sem autonomia","Cadastrar uma regra loja sem autonomia - UC006 - Fluxo Principal","SKIPPED","2018-08-24T14:27:08.544-03:00[America/Sao_Paulo]","0.0","0.0"
"Cadastro regra loja sem autonomia","Pesquisar/Desativar uma regra loja sem autonomia","SKIPPED","2018-08-24T14:27:08.549-03:00[America/Sao_Paulo]","0.0","0.0"
"Cadastro regra loja sem autonomia","Pesquisar/Ativar uma regra loja sem autonomia","SKIPPED","2018-08-24T14:27:08.553-03:00[America/Sao_Paulo]","0.0","0.0"
