"Story","Title","Result","Date","Stability","Duration (s)"
"Cadastro regra local retirada","Cadastrar uma regra local de retirada - UC005 - Fluxo Principal","SKIPPED","2018-08-24T14:41:26.111-03:00[America/Sao_Paulo]","0.0","0.0"
"Cadastro regra local retirada","Pesquisar/Editar uma regra local de retirada","SKIPPED","2018-08-24T14:41:26.113-03:00[America/Sao_Paulo]","0.0","0.0"
"Cadastro regra local retirada","Pesquisar/Excluir uma local de retirada","SKIPPED","2018-08-24T14:41:26.116-03:00[America/Sao_Paulo]","0.0","0.0"
